"Date","Birth cohort","Lower 95% CrI","Posterior median","Upper 95% CrI","Precision","Coefficient of variation"
1984.75,"[-1968]",0,0.0332326283987915,0.563444108761329,30.7629452655355,0.180295980043304
1985,"(1978,1988]",0,0.647058823529412,0.811764705882353,14.9175551830961,0.258911400242359
1985,"(1968,1978]",0,0.579908675799087,0.712328767123288,19.4620698428943,0.226675971964816
1985,"[-1968]",0.00151057401812689,0.48036253776435,0.601208459214502,27.6843924453682,0.190056401212595
1985.25,"(1978,1988]",0,0.0113636363636364,0.0795454545454545,1741.4335828045,0.0239632954491861
1985.25,"(1968,1978]",0,0.0091324200913242,0.0502283105022831,4487.95452644405,0.0149271114734973
1985.25,"[-1968]",0,0.00604229607250755,0.0347809667673716,9750.92843632026,0.0101269115185983
1985.5,"(1978,1988]",0.010989010989011,0.0549450549450549,0.142857142857143,807.879243487622,0.0351825063674019
1985.5,"(1968,1978]",0,0.0228310502283105,0.0730593607305936,2640.85901016783,0.0194593080010267
1985.5,"[-1968]",0.00151057401812689,0.0181268882175227,0.0544184290030211,5563.65178102695,0.0134066425334393
1985.75,"(1978,1988]",0.0105263157894737,0.0526315789473684,0.136842105263158,907.372106825046,0.0331976458553696
1985.75,"(1968,1978]",0,0.0228310502283105,0.0684931506849315,3285.02905431103,0.0174473869294629
1985.75,"[-1968]",0.00302114803625378,0.0196374622356495,0.0498867069486405,6351.28639567117,0.0125478451833683
1986,"(1978,1988]",0,0.0309278350515464,0.103092783505155,1324.41003771773,0.0274782308745378
1986,"(1968,1978]",0,0.0136986301369863,0.0502283105022831,5227.31417536741,0.013831226660985
1986,"[-1968]",0,0.0120845921450151,0.0392749244712991,9203.8742124857,0.0104235262080245
1986.25,"(1978,1988]",0,0.0485436893203883,0.12621359223301,945.974428392972,0.0325132438786644
1986.25,"(1968,1978]",0,0.0182648401826484,0.0547945205479452,4692.74177522089,0.0145977751999534
1986.25,"[-1968]",0,0.013595166163142,0.0453172205438066,7739.22560785227,0.0113671409837397
1986.5,"(1978,1988]",0,0.0283018867924528,0.10377358490566,1161.28960171326,0.0293447038772503
1986.5,"(1968,1978]",0,0.0091324200913242,0.0412100456621003,6667.51725115884,0.0122466674769264
1986.5,"[-1968]",0,0.00906344410876133,0.0362537764350453,10447.3109874701,0.00978357860577516
1986.75,"(1978,1988]",0,0.0446428571428571,0.125,985.10184950446,0.0318610022144638
1986.75,"(1968,1978]",0,0.0136986301369863,0.0502283105022831,5625.59347655711,0.0133326300093638
1986.75,"[-1968]",0,0.013595166163142,0.0422960725075529,7862.39876800812,0.0112777500910946
1987,"(1978,1988]",0,0.0350877192982456,0.114035087719298,1052.49972051978,0.0308240006673313
1987,"(1968,1978]",0,0.0136986301369863,0.0502283105022831,5364.56628088505,0.0136531446754286
1987,"[-1968]",0,0.013595166163142,0.0422960725075529,7229.4669860691,0.0117610706975046
1987.25,"(1978,1988]",0,0.0263157894736842,0.0964912280701754,1294.3675935039,0.0277952883896798
1987.25,"(1968,1978]",0,0.0091324200913242,0.0410958904109589,7258.47908831655,0.0117375426951787
1987.25,"[-1968]",0,0.0105740181268882,0.0377643504531722,8783.95745426365,0.0106697658342073
1987.5,"(1978,1988]",0,0.0423728813559322,0.127118644067797,830.555882461998,0.0346988890892384
1987.5,"(1968,1978]",0,0.0136986301369863,0.0547945205479452,4110.02599162777,0.0155983160551841
1987.5,"[-1968]",0,0.0151057401812689,0.0513595166163142,5429.56975752043,0.013571170020721
1987.75,"(1978,1988]",0,0.0252100840336134,0.109243697478992,1079.79399796541,0.0304319334443508
1987.75,"(1968,1978]",0,0.0091324200913242,0.0502283105022831,5460.54875547044,0.0135326190204352
1987.75,"[-1968]",0,0.0105740181268882,0.0453549848942598,6538.64594368305,0.0123667644583805
1988,"(1978,1988]",0,0.0247933884297521,0.0991735537190083,1156.97437664452,0.0293993771485057
1988,"(1968,1978]",0,0.0091324200913242,0.0502283105022831,4511.66885942528,0.0148878296813949
1988,"[-1968]",0,0.00906344410876133,0.0468277945619335,6489.74246541242,0.0124132719081324
1988.25,"(1988,2000]",0,0.25,0.5,43.3542003450105,0.151874342190562
1988.25,"(1978,1988]",0,0.0330578512396694,0.12396694214876,815.344227810035,0.035021077140154
1988.25,"(1968,1978]",0,0.0182648401826484,0.0684931506849315,2815.11871397601,0.018847408478126
1988.25,"[-1968]",0,0.0166163141993958,0.0634441087613293,3546.89519951222,0.0167909713940817
1988.5,"(1988,2000]",0.0909090909090909,0.272727272727273,0.545454545454545,81.5608698908485,0.11072841298691
1988.5,"(1978,1988]",0.0165289256198347,0.0909090909090909,0.198553719008264,431.009293730251,0.0481677857634094
1988.5,"(1968,1978]",0.0091324200913242,0.0502283105022831,0.127853881278539,1083.48300664356,0.0303800824292223
1988.5,"[-1968]",0.0105740181268882,0.0468277945619335,0.114803625377644,1421.96397282404,0.0265189120771527
1988.75,"(1988,2000]",0,0.2,0.4,92.6229254875297,0.103906030286006
1988.75,"(1978,1988]",0.0247933884297521,0.115702479338843,0.231404958677686,342.190594453481,0.0540587458417911
1988.75,"(1968,1978]",0.0182648401826484,0.0753424657534247,0.168949771689498,605.240779853369,0.0406476936635219
1988.75,"[-1968]",0.0211480362537764,0.0694864048338369,0.157099697885196,761.896137835843,0.0362286469037195
1989,"(1988,2000]",0.0526315789473684,0.210526315789474,0.369736842105262,122.686523903934,0.0902820826939857
1989,"(1978,1988]",0.0413223140495868,0.15702479338843,0.272727272727273,274.623981291331,0.0603435381172426
1989,"(1968,1978]",0.0364155251141553,0.118721461187215,0.223744292237443,422.593771080665,0.048645027619468
1989,"[-1968]",0.0422960725075529,0.114803625377644,0.208459214501511,534.553980048757,0.0432518030040195
1989.25,"(1988,2000]",0,0.130434782608696,0.260869565217391,222.600427365727,0.0670250278488482
1989.25,"(1978,1988]",0,0.0495867768595041,0.140495867768595,691.5302063533,0.0380272064486837
1989.25,"(1968,1978]",0.0045662100456621,0.0410958904109589,0.123287671232877,1019.42221894374,0.0313200864738759
1989.25,"[-1968]",0.00453172205438067,0.0362537764350453,0.107288519637462,1455.42950195468,0.0262122567375408
1989.5,"(1988,2000]",0,0.161290322580645,0.32258064516129,139.545602740564,0.0846529158871527
1989.5,"(1978,1988]",0,0.0495867768595041,0.140702479338843,689.030235182208,0.0380961300165678
1989.5,"(1968,1978]",0.0045662100456621,0.0410958904109589,0.114269406392694,1148.37686710256,0.0295092235371845
1989.5,"[-1968]",0.00302114803625378,0.0362537764350453,0.0921827794561933,1695.95520852917,0.0242824672118217
1989.75,"(1988,2000]",0.0285714285714286,0.114285714285714,0.314285714285714,167.334258034205,0.0773049972072017
1989.75,"(1978,1988]",0,0.0413223140495868,0.115702479338843,987.067612606863,0.0318292605203628
1989.75,"(1968,1978]",0,0.0319634703196347,0.100456621004566,1417.05920453336,0.0265647664646084
1989.75,"[-1968]",0.00302114803625378,0.0302114803625378,0.0800604229607251,2200.9314171037,0.021315559913708
1990,"(1988,2000]",0,0.0526315789473684,0.236842105263158,245.329690746933,0.0638447137758248
1990,"(1978,1988]",0,0.0247933884297521,0.0826446280991736,1674.34243663618,0.0244386863525399
1990,"(1968,1978]",0,0.0182648401826484,0.0776255707762557,2283.70572312022,0.0209256968717021
1990,"[-1968]",0,0.0166163141993958,0.0589123867069486,3780.06754455007,0.0162648558986838
1990.25,"(1988,2000]",0,0.0256410256410256,0.17948717948718,410.883659502939,0.0493333451794977
1990.25,"(1978,1988]",0,0.00826446280991736,0.0580578512396692,3029.60911420595,0.0181679824078323
1990.25,"(1968,1978]",0,0.0136986301369863,0.0593607305936073,3847.0772578366,0.0161225802014911
1990.25,"[-1968]",0,0.0105740181268882,0.0453172205438066,6349.94366638431,0.0125491717674708
1990.5,"(1988,2000]",0,0.025,0.15,526.399161660593,0.0435855374416111
1990.5,"(1978,1988]",0,0.00826446280991736,0.0578512396694215,3760.20598615446,0.0163077551340804
1990.5,"(1968,1978]",0,0.0091324200913242,0.0547945205479452,4434.32479077351,0.0150171061331179
1990.5,"[-1968]",0,0.00906344410876133,0.0422960725075529,7727.84279380896,0.0113755095830949
1990.75,"(1988,2000]",0,0.024390243902439,0.121951219512195,667.744902304704,0.0386985514874508
1990.75,"(1978,1988]",0,0.00826446280991736,0.0495867768595041,4601.92819393699,0.0147411064052713
1990.75,"(1968,1978]",0,0.0091324200913242,0.0502283105022831,5402.84610781259,0.0136046915970899
1990.75,"[-1968]",0,0.00604229607250755,0.0392749244712991,9300.40139477842,0.0103692931765931
1991,"(1988,2000]",0,0.0222222222222222,0.133888888888888,644.469930470933,0.0393911509591304
1991,"(1978,1988]",0,0.00826446280991736,0.0495867768595041,4704.35407420318,0.0145797473831377
1991,"(1968,1978]",0,0.0091324200913242,0.0547945205479452,4893.52973618896,0.0142951555082702
1991,"[-1968]",0,0.00755287009063444,0.0362915407854985,9208.20792625721,0.010421073076229
1991.25,"(1988,2000]",0,0.0204081632653061,0.163265306122449,534.971674547236,0.0432349146632006
1991.25,"(1978,1988]",0,0.00826446280991736,0.0578512396694215,3679.70658670434,0.0164851690447042
1991.25,"(1968,1978]",0,0.0091324200913242,0.0593607305936073,3452.35820883909,0.0170193149278175
1991.25,"[-1968]",0,0.00755287009063444,0.0453549848942598,6395.17367934207,0.0125047158711586
1991.5,"(1988,2000]",0,0.02,0.18,432.671018958874,0.0480751996857509
1991.5,"(1978,1988]",0,0.00826446280991736,0.0661157024793388,2677.19292979231,0.0193268094718069
1991.5,"(1968,1978]",0,0.0091324200913242,0.0684931506849315,2698.44819502387,0.0192505418211651
